from,to,dist_m,speed_kmh,weight_sec,road_name,travel_time_sec,traffic_light_delay_sec,maneuver_delay_sec,intersection_delay_sec,left_turn_count,right_turn_count,straight_count
Universitas Negeri UM,Stasiun Pasar Turi,4025.1,40.0,557.26,Jalan Kedungsari,362.3,0.0,195.0,195.0,10,7,25
Universitas Negeri UM,Terminal Wonokromo,4981.9,40.0,636.37,Jalan Kedungsari,448.4,45.0,154.0,188.0,5,3,33
Universitas Negeri UM,Pelabuhan Tanjung Perak,13572.0,40.0,1519.48,Jalan Kedungsari,1221.5,75.0,242.0,298.0,20,4,34
Universitas Negeri UM,RSUD Dr. Soetomo,3301.0,40.0,452.09,Jalan Kedungsari,297.1,0.0,155.0,155.0,3,11,10
Universitas Negeri UM,RS Siloam Surabaya,2365.9,40.0,311.93,Jalan Kedungsari,212.9,0.0,99.0,99.0,2,5,13
Universitas Negeri UM,Balai Kota Surabaya,2874.4,40.0,426.7,Jalan Kedungsari,258.7,30.0,144.0,168.0,2,5,28
Universitas Negeri UM,Tugu Pahlawan,3103.9,40.0,431.35,Jalan Kedungsari,279.4,30.0,128.0,152.0,3,2,31
Universitas Negeri UM,Kebun Binatang Surabaya,4302.4,40.0,548.22,Jalan Kedungsari,387.2,45.0,127.0,161.0,4,2,29
Universitas Negeri UM,Monkasel Surabaya,4015.3,40.0,514.38,Jalan Kedungsari,361.4,0.0,153.0,153.0,6,9,11
Universitas Negeri UM,House of Sampoerna,4250.2,40.0,592.52,Jalan Kedungsari,382.5,30.0,186.0,210.0,11,2,37
Universitas Negeri UM,Simpang Jl. Ahmad Yani,7380.0,40.0,942.2,Jalan Kedungsari,664.2,15.0,266.0,278.0,6,11,42
Universitas Negeri UM,Simpang Wonokromo,4981.9,40.0,636.37,Jalan Kedungsari,448.4,45.0,154.0,188.0,5,3,33
Universitas Negeri UM,Simpang Darmo - Polda,3081.5,40.0,380.34,Jalan Kedungsari,277.3,15.0,91.0,103.0,2,3,17
Universitas Negeri UM,Simpang Urip Sumoharjo,1435.0,40.0,187.15,Jalan Kedungsari,129.2,0.0,58.0,58.0,2,3,6
Universitas Negeri UM,Simpang Basuki Rahmat,1622.7,40.0,223.04,Jalan Kedungsari,146.0,0.0,77.0,77.0,3,5,4
Universitas Negeri UM,Simpang Embong Malang,2150.9,40.0,280.58,Jalan Kedungsari,193.6,0.0,87.0,87.0,5,5,4
Universitas Negeri UM,Simpang Pemuda - Gubernur,3626.1,40.0,558.35,Jalan Kedungsari,326.3,45.0,203.0,232.0,4,12,21
Universitas Negeri UM,Simpang Jl. Diponegoro,3637.5,40.0,536.38,Jalan Kedungsari,327.4,30.0,199.0,209.0,3,13,18
Universitas Negeri UM,Simpang Raya Darmo,4204.5,40.0,525.41,Jalan Kedungsari,378.4,15.0,135.0,147.0,2,5,25
Universitas Negeri UM,Simpang Joyoboyo,7359.1,40.0,960.32,Jalan Kedungsari,662.3,15.0,286.0,298.0,9,13,37
Universitas Negeri UM,Simpang HR Muhammad,6359.3,40.0,880.34,Jalan Kedungsari,572.3,45.0,288.0,308.0,7,19,21
STTS Surabaya,Tunjungan Plaza,2689.6,40.0,362.06,Jalan Melati,242.1,0.0,120.0,120.0,14,2,10
STTS Surabaya,Grand City Mall,1487.6,40.0,220.88,Jalan Kusuma Bangsa,133.9,30.0,63.0,87.0,0,0,21
STTS Surabaya,BG Junction,4312.7,40.0,586.14,Jalan Melati,388.1,15.0,188.0,198.0,18,5,16
STTS Surabaya,Ciputra World,5338.1,40.0,651.43,Jalan Melati,480.4,15.0,159.0,171.0,7,4,28
STTS Surabaya,Royal Plaza,8807.1,40.0,1091.64,Jalan Melati,792.6,60.0,267.0,299.0,9,12,34
