osmid,lat,lon
270391824,-7.2720917,112.7434197
270391825,-7.2690668,112.744636
270391906,-7.2478779,112.7624944
270391907,-7.2483381,112.7649459
270391917,-7.2973205,112.7598815
270391918,-7.2990347,112.7596671
270391920,-7.23263,112.7354644
270391931,-7.2975297,112.762023
270391932,-7.2314038,112.7345954
270391938,-7.3038577,112.7695817
270392841,-7.2785539,112.76454
270392854,-7.3050964,112.7711299
270392855,-7.305065,112.7725678
270392859,-7.2787284,112.7656588
270392913,-7.3039419,112.7711116
270392928,-7.3039968,112.7688354
270393178,-7.3086161,112.76966
270393193,-7.3224513,112.7696732
270613347,-7.2550321,112.7341601
270613355,-7.2559863,112.7342367
270613380,-7.2425038,112.7401786
270613421,-7.2399689,112.7449967
270613422,-7.2397544,112.7449031
270613436,-7.2471046,112.7368542
270613452,-7.2601278,112.73254
270613453,-7.2638254,112.7309655
270613454,-7.2655912,112.7303544
270613457,-7.2740601,112.7271329
270613458,-7.268712,112.7290249
270613459,-7.2683071,112.7288457
270613531,-7.2560092,112.7185986
270613583,-7.2546681,112.7188964
270613584,-7.2548125,112.7199264
270613597,-7.2539883,112.716532
270613676,-7.2524091,112.7158947
270613685,-7.2515221,112.713409
270614714,-7.2534468,112.7098882
270614717,-7.2512923,112.7106419
270614721,-7.2513843,112.7122187
270614722,-7.2512183,112.7117304
271845183,-7.2777261,112.7657647
271845186,-7.2771991,112.7658086
271845193,-7.2716525,112.7736937
271845194,-7.2685023,112.7743402
271845207,-7.2802127,112.7698627
271845209,-7.2803836,112.7722857
271845212,-7.2867273,112.7652822
271845213,-7.2873878,112.7710535
271845214,-7.2851707,112.7628944
271845216,-7.2923289,112.7371472
271845218,-7.2954473,112.7331523
271845219,-7.2943991,112.7316664
271845228,-7.2901875,112.736088
271845229,-7.2898328,112.7374646
271845230,-7.2897738,112.7389137
271845234,-7.3168898,112.7483933
271845235,-7.3176363,112.7513978
271845241,-7.3039916,112.7690357
271845243,-7.3055645,112.7688476
271845244,-7.3075073,112.768553
271845245,-7.3074528,112.7683173
271845246,-7.3055137,112.771133
271845247,-7.3050991,112.7706409
271845248,-7.303961,112.770612
271845262,-7.2550314,112.782322
271845263,-7.2499165,112.7843408
271845264,-7.2550045,112.7824766
271845269,-7.2633932,112.7831536
271845272,-7.2701535,112.7821823
271845273,-7.2724437,112.7819041
271845275,-7.277216,112.7810578
271845308,-7.272538,112.7501446
271845639,-7.3083847,112.7683087
271845640,-7.3108017,112.76714
271845647,-7.321159,112.750019
271845657,-7.3276424,112.7359237
271845661,-7.3372698,112.7294348
279079289,-7.3008707,112.7792186
279079291,-7.3013363,112.7823038
279079293,-7.3010991,112.785582
279079295,-7.2957949,112.7857855
279079297,-7.2912755,112.7859489
279079298,-7.2903341,112.7857344
279079299,-7.2901516,112.7856827
311430525,-7.292792,112.7297913
311430526,-7.2924238,112.7287506
311430714,-7.2883992,112.7071167
311430941,-7.297614,112.729218
311431228,-7.2795393,112.7173287
311431254,-7.2749494,112.72612
311431485,-7.2818707,112.711456
311431486,-7.2811077,112.7087868
311432305,-7.2837385,112.7095375
311432306,-7.2815254,112.7101872
311432332,-7.2822282,112.7085184
311432333,-7.2826274,112.7098498
311432506,-7.2808929,112.7117705
311432507,-7.283142,112.7110674
311432603,-7.2844845,112.7157462
311432739,-7.2822192,112.7164221
311432950,-7.2921979,112.7289512
311432952,-7.2909733,112.7294434
311432957,-7.2880537,112.7305832
311433043,-7.2920185,112.7303316
311433044,-7.2902692,112.7313266
311433047,-7.2875696,112.7315967
311433048,-7.2868694,112.7315877
311433663,-7.2836989,112.735405
311433668,-7.2813605,112.7406301
311674231,-7.2872218,112.7039918
311674235,-7.2814268,112.6847405
312079303,-7.2865837,112.7147667
312079306,-7.287677,112.7198067
312079403,-7.2881422,112.714035
312079405,-7.2893096,112.7178999
312079758,-7.2897308,112.7267133
312079776,-7.2900824,112.7190976
312079779,-7.2901915,112.7205299
312079780,-7.2897534,112.7253212
312079868,-7.2896747,112.7190215
312079869,-7.2863098,112.7200538
312080177,-7.2853866,112.7201879
312080178,-7.28304,112.7205433
312080181,-7.2826263,112.7178316
312080185,-7.2828013,112.7222621
312080226,-7.2846044,112.7162209
312080227,-7.2851179,112.7182178
